cluster_id	ContamPct
0	640.7
1	0.0
2	578.6
3	567.0
4	558.5
5	45.7
6	424.7
7	411.3
8	131.5
9	0.0
10	17.5
11	66.0
12	80.2
13	42.9
14	0.0
15	0.0
16	178.6
17	3.7
18	1122.4
19	275.1
20	9.4
21	0.0
22	0.0
23	91.0
24	309.9
25	341.2
26	336.6
27	73.1
28	285.7
29	217.7
30	86.4
31	323.7
32	183.1
33	147.6
34	340.5
35	275.1
36	344.9
37	78.0
38	248.6
39	37.9
40	4.7
41	55.6
42	163.8
43	199.1
44	69.7
45	18.3
46	72.4
47	41.3
48	199.3
49	279.7
50	173.8
51	90.3
52	37.0
53	49.0
54	27.9
55	132.6
56	106.5
57	4.6
58	17.3
60	1.0
61	132.3
62	3.6
63	0.0
64	0.7
65	133.0
66	224.0
67	374.0
68	219.5
69	9.7
70	0.0
71	0.0
72	0.0
73	0.0
74	0.0
75	263.4
76	26.8
77	0.0
78	193.0
79	0.0
80	181.8
81	0.0
82	176.8
83	290.2
84	47.8
85	203.4
86	25.0
87	328.2
88	78.0
89	198.4
90	70.2
91	0.0
92	0.0
94	0.0
95	67.8
96	195.7
97	24.4
98	189.8
99	134.5
100	41.5
101	127.4
102	201.3
103	0.0
104	212.4
105	195.5
106	2.6
107	1057.1
108	323.8
109	1.9
110	434.2
111	0.4
112	4.3
113	0.5
114	0.0
115	0.0
116	0.0
118	0.0
119	0.9
120	0.0
121	100.0
122	0.0
123	0.0
124	0.0
125	0.0
126	100.0
127	97.5
128	19.5
129	0.0
130	1.0
131	0.0
133	0.0
134	100.0
136	0.0
140	0.8
143	0.0
145	0.0
147	2.7
148	39.4
151	1.8
152	676.0
153	401.5
154	5.0
156	3258.5
157	10.3
158	384.5
159	24950.0
160	10078.4
161	253.0
162	0.0
163	100.0
164	inf
165	91.8
166	4281.1
167	1903.1
168	97.5
169	1742.9
170	3986.4
172	100.0
173	100.0
174	1.9
175	1.1
176	0.0
177	4.7
178	50.0
179	0.0
181	0.0
182	0.0
183	0.0
184	31.5
185	100.0
186	0.0
187	0.7
188	235.3
189	0.0
190	100.0
191	100.0
193	0.0
195	0.0
197	0.0
198	0.0
199	0.0
200	2.1
201	4.7
203	0.0
204	116.8
205	0.0
206	249.9
207	100.0
208	0.0
209	72.0
211	74.7
212	8.8
214	0.0
216	0.0
219	0.0
220	0.0
221	0.0
222	0.0
223	0.1
224	63.4
225	0.0
226	0.0
227	17.7
228	58.8
229	87.8
230	28.1
231	322.8
232	0.0
233	181.3
234	533.3
235	0.0
236	153.1
237	100.0
238	17.4
239	585.0
240	419.0
241	0.0
242	100.0
243	100.0
244	100.0
245	32.0
246	0.0
247	800.0
248	0.0
249	0.0
250	0.0
251	240.0
252	11.3
253	0.2
255	0.0
257	14.3
263	0.0
264	86.7
265	0.9
266	612.5
267	0.0
269	9.4
271	1.7
272	0.0
275	21.6
276	386.4
277	425.5
278	0.2
279	11.6
285	34.8
287	11.2
288	57.8
289	0.3
292	2.0
293	0.0
295	100.0
296	0.0
297	1.0
298	0.0
299	0.8
300	0.8
301	0.0
303	1.0
304	4.7
309	100.0
313	0.0
314	3.0
316	0.7
320	0.8
321	0.1
322	0.8
323	15.3
324	48.6
325	341.2
326	8.8
327	38.8
328	557.1
329	34.6
330	29.3
331	32.8
332	32.4
333	528.2
334	249.6
335	61.9
336	70.8
337	260.0
338	16.0
339	334.2
340	361.4
341	262.6
342	312.0
343	102.5
344	311.8
345	66.9
346	100.0
347	276.6
348	233.0
349	85.5
350	248.9
351	200.0
352	500.0
353	326.6
354	65.6
355	0.0
356	357.1
357	152.7
358	139.3
359	100.0
360	23.1
361	257.6
362	499.0
363	6.7
364	170.7
365	153.0
366	118.5
367	32.2
368	0.0
369	0.0
370	921.8
371	0.0
372	371.2
373	465.3
374	342.0
375	0.0
376	0.0
377	285.4
378	0.0
379	89.4
380	0.0
381	174.2
382	0.5
383	0.0
384	183.8
385	189.5
386	216.7
387	243.7
388	370.8
389	210.5
390	0.0
391	656.6
392	0.0
393	44.2
394	46.6
395	55.1
396	12.1
397	104.7
398	126.3
399	93.0
400	780.0
401	467.3
402	39.1
403	110.0
404	134.3
405	125.9
406	113.0
407	141.8
408	1560.0
409	0.0
410	700.7
411	1596.6
412	383.7
413	284.6
414	465.7
415	444.4
416	612.9
417	0.0
418	7.9
419	731.2
420	386.2
421	413.4
422	334.9
423	22.2
424	11.5
425	212.7
426	14.4
427	100.0
428	368.3
429	0.0
430	0.9
431	0.0
432	0.0
433	0.0
434	100.0
435	0.0
436	100.0
437	0.0
438	0.6
439	0.0
440	0.0
441	0.0
442	0.0
443	0.0
444	0.0
446	0.0
448	100.0
449	0.0
450	0.0
451	100.0
452	0.0
456	100.0
457	389.1
458	3838.5
459	6072.9
460	8564.9
461	4420.0
462	0.0
463	3.9
464	3408.6
465	0.0
466	0.0
467	100.0
468	0.0
469	100.0
470	0.0
471	156.0
472	78.3
473	17.1
474	0.0
475	0.0
476	71.0
477	0.0
478	100.0
479	100.0
480	0.0
481	100.0
482	100.0
483	0.0
484	100.0
485	0.0
486	2558.0
487	100.0
488	81.2
489	96.2
490	0.0
491	0.0
492	100.0
493	0.0
494	123.9
495	0.0
496	100.0
497	41.0
