cluster_id	Amplitude
0	2738.7
1	1156.3
2	5968.6
3	2028.9
4	2874.7
5	2725.1
6	1888.6
7	1338.5
8	1768.8
9	2309.7
10	2034.8
11	1358.8
12	328.7
13	299.8
14	1573.4
15	3232.8
16	2032.1
17	1399.7
18	2036.8
19	550.7
20	1929.6
21	2146.9
22	1653.9
23	1324.3
24	5856.9
25	4630.6
26	5661.4
27	4304.6
28	2321.0
29	1740.9
30	1981.9
31	2600.5
32	1523.9
33	2148.8
34	807.6
35	4094.9
36	1119.5
37	1597.7
38	8303.1
39	2896.7
40	1559.7
41	2745.2
42	2392.0
43	2537.6
44	2122.3
45	2061.2
46	1711.5
47	1881.5
48	1595.8
49	2656.2
50	1641.2
51	359.3
52	314.6
53	1261.6
54	1541.2
55	2271.6
56	1735.5
57	2002.1
58	1366.8
60	1355.4
61	1521.8
62	1355.7
63	1299.0
64	1279.7
65	3771.6
66	1906.8
67	3113.0
68	1947.6
69	2972.1
70	1615.5
71	1516.0
72	1389.5
73	1403.7
74	2032.3
75	739.9
76	779.5
77	1538.0
78	1339.2
79	1079.8
80	1206.4
81	907.7
82	6119.9
83	2273.3
84	1284.4
85	945.1
86	757.8
87	2180.1
88	2014.1
89	1520.8
90	2110.6
91	2038.4
92	1833.9
94	1234.7
95	2095.0
96	1603.7
97	2113.5
98	1900.8
99	961.2
100	1254.5
101	1865.7
102	1284.4
103	816.0
104	2632.1
105	1689.6
106	1618.5
107	1773.5
108	405.3
109	3148.1
110	1342.0
111	2272.5
112	1971.8
113	1803.9
114	1862.3
115	1657.7
116	1745.9
118	1349.4
119	1174.4
120	1541.8
121	1503.0
122	1598.0
123	1348.1
124	1445.6
125	1292.3
126	1443.4
127	1161.7
128	2807.0
129	1511.5
130	2296.2
131	9560.9
133	1974.0
134	1516.7
136	1039.1
140	1244.1
143	1155.6
145	1637.0
147	1133.6
148	707.7
151	2121.9
152	2996.3
153	2203.4
154	2204.4
156	1638.5
157	1584.0
158	320.0
159	701.9
160	1747.1
161	1481.5
162	1686.0
163	980.3
164	988.3
165	1290.1
166	2180.2
167	1915.2
168	1407.3
169	1325.3
170	2125.9
172	1216.6
173	1295.6
174	1045.1
175	2083.4
176	1245.4
177	3406.3
178	1272.6
179	1345.6
181	1443.8
182	1871.9
183	1697.9
184	1449.4
185	967.5
186	1337.1
187	776.7
188	1700.6
189	1084.8
190	763.7
191	1116.9
193	1264.7
195	1443.9
197	1543.1
198	800.2
199	1391.5
200	2052.3
201	1196.7
203	1457.0
204	1703.5
205	898.8
